Total result files found: 1000
Total files analyzed: 1000
Dominant Error State Check: 74.30% of files contain this error
Nondeterministic Confusion Check: 38.20% of files contain this error
Vacuous Confusion Check: 0.00% of files contain this error
Dominant Blocking State Check: 0.00% of files contain this error

Total Number of Each Error Type:
Dominant Error State Check (Compound Errors): 124
Dominant Error State Check: 1222 occurrences
Nondeterministic Confusion Check: 470 occurrences
Vacuous Confusion Check: 0 occurrences
Dominant Blocking State Check: 0 occurrences

Dominant Error Check by Previous State and Previous Action:
Previous State D, Previous Action up2 -> State P: 293 errors
Previous State P, Previous Action down2 -> State D: 160 errors
Previous State N, Previous Action up1 -> State P: 248 errors
Previous State D, Previous Action up1 -> State P: 135 errors
Previous State R, Previous Action down1 -> State D: 386 errors

Compound Errors by Previous State and Previous Action:
Previous State P, Previous Action up1 -> State P: 96 compound errors
Previous State P, Previous Action up1 -> State R: 6 compound errors
Previous State D, Previous Action up1 -> State P: 21 compound errors
Previous State D, Previous Action up1 -> State D: 1 compound errors


Errors by Files:

Dominant Error State Check:
  computed/gear1_760/result/gear1_760Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: D, Fuzzy Max State: {'D': 0.30157745567720007}, Binary True State: {'N': 0.2897743370256579}
  computed/gear1_760/result/gear1_760Result.json - Initial Error, Previous State: D, Previous Action: down2, FMMFSM State: P, Fuzzy Max State: {'P': 0.5377838730894222}, Binary True State: {'R': 0.38951048857170456}
  computed/gear1_760/result/gear1_760Result.json - Initial Error, Previous State: P, Previous Action: up1, FMMFSM State: D, Fuzzy Max State: {'D': 0.44035755711071856}, Binary True State: {'N': 0.30614858122298383}
  computed/gear1_552/result/gear1_552Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: D, Fuzzy Max State: {'D': 0.23728833239784397}, Binary True State: {'N': 0.1859920530207223}
  computed/gear1_552/result/gear1_552Result.json - Initial Error, Previous State: D, Previous Action: down1, FMMFSM State: P, Fuzzy Max State: {'P': 0.2395985913014801}, Binary True State: {'N': 0.2297445758528298}
  computed/gear1_903/result/gear1_903Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: P, Fuzzy Max State: {'P': 0.47869697968163183}, Binary True State: {'R': 0.3801526900427743}
  computed/gear1_903/result/gear1_903Result.json - Initial Error, Previous State: P, Previous Action: up2, FMMFSM State: P, Fuzzy Max State: {'P': 0.5246653135258939}, Binary True State: {'R': 0.38253198738022287}
  computed/gear1_590/result/gear1_590Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: D, Fuzzy Max State: {'D': 0.18778795505665935}, Binary True State: {'N': 0.17885269326090147}
  computed/gear1_756/result/gear1_756Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: D, Fuzzy Max State: {'D': 0.30633850917329497}, Binary True State: {'N': 0.25138265977447016}
  computed/gear1_100/result/gear1_100Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: D, Fuzzy Max State: {'D': 0.4174540248040428}, Binary True State: {'N': 0.3196204343164142}
  computed/gear1_332/result/gear1_332Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: D, Fuzzy Max State: {'D': 0.3114348713255607}, Binary True State: {'N': 0.24136470163783008}
  computed/gear1_138/result/gear1_138Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: P, Fuzzy Max State: {'P': 0.6161057613551324}, Binary True State: {'R': 0.4617295832900987}
  computed/gear1_138/result/gear1_138Result.json - Initial Error, Previous State: P, Previous Action: up1, FMMFSM State: D, Fuzzy Max State: {'D': 0.4791824835737587}, Binary True State: {'N': 0.33742987469978525}
  computed/gear1_138/result/gear1_138Result.json - Initial Error, Previous State: D, Previous Action: up1, FMMFSM State: D, Fuzzy Max State: {'D': 0.4026577156198553}, Binary True State: {'N': 0.28472052926880387}
  computed/gear1_904/result/gear1_904Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: D, Fuzzy Max State: {'D': 0.41865892134124394}, Binary True State: {'N': 0.39401497052718515}
  computed/gear1_904/result/gear1_904Result.json - Initial Error, Previous State: D, Previous Action: up3, FMMFSM State: D, Fuzzy Max State: {'D': 0.2971247556960933}, Binary True State: {'N': 0.2430014894243353}
  computed/gear1_904/result/gear1_904Result.json - Initial Error, Previous State: D, Previous Action: down1, FMMFSM State: P, Fuzzy Max State: {'P': 0.39938675221557285}, Binary True State: {'R': 0.30829756963856414}
  computed/gear1_335/result/gear1_335Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: P, Fuzzy Max State: {'P': 0.5730342552697787}, Binary True State: {'R': 0.4220495254279799}
  computed/gear1_107/result/gear1_107Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: P, Fuzzy Max State: {'P': 0.5320879855813545}, Binary True State: {'R': 0.42660006617096613}
  computed/gear1_107/result/gear1_107Result.json - Initial Error, Previous State: P, Previous Action: up2, FMMFSM State: D, Fuzzy Max State: {'D': 0.5241433832989395}, Binary True State: {'N': 0.4303233225107228}
  computed/gear1_563/result/gear1_563Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: D, Fuzzy Max State: {'D': 0.28630692453870044}, Binary True State: {'N': 0.19466004434712303}
  computed/gear1_751/result/gear1_751Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: P, Fuzzy Max State: {'P': 0.3729097224091903}, Binary True State: {'R': 0.2895996345302453}
  computed/gear1_597/result/gear1_597Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: D, Fuzzy Max State: {'D': 0.3173490368477464}, Binary True State: {'N': 0.2614781005867306}
  computed/gear1_597/result/gear1_597Result.json - Initial Error, Previous State: D, Previous Action: up3, FMMFSM State: D, Fuzzy Max State: {'D': 0.23017906489005546}, Binary True State: {'N': 0.15413258003354002}
  computed/gear1_597/result/gear1_597Result.json - Initial Error, Previous State: D, Previous Action: down1, FMMFSM State: P, Fuzzy Max State: {'P': 0.22689169534283704}, Binary True State: {'N': 0.21325597744112235}
  computed/gear1_190/result/gear1_190Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: D, Fuzzy Max State: {'D': 0.5531966691661073}, Binary True State: {'N': 0.4499190508596077}
  computed/gear1_500/result/gear1_500Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: D, Fuzzy Max State: {'D': 0.4118137065068217}, Binary True State: {'N': 0.3281379255857445}
  computed/gear1_500/result/gear1_500Result.json - Initial Error, Previous State: D, Previous Action: down1, FMMFSM State: P, Fuzzy Max State: {'P': 0.48926712255543425}, Binary True State: {'R': 0.38554078347871756}
  computed/gear1_732/result/gear1_732Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: P, Fuzzy Max State: {'P': 0.40716454354330434}, Binary True State: {'N': 0.39347847679935033}
  computed/gear1_164/result/gear1_164Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: P, Fuzzy Max State: {'P': 0.5642246624704165}, Binary True State: {'R': 0.528503345289316}
  computed/gear1_164/result/gear1_164Result.json - Initial Error, Previous State: P, Previous Action: up2, FMMFSM State: D, Fuzzy Max State: {'D': 0.3787645111017556}, Binary True State: {'N': 0.3191913019672481}
  computed/gear1_993/result/gear1_993Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: P, Fuzzy Max State: {'P': 0.471983986570347}, Binary True State: {'R': 0.37426225015634096}
  computed/gear1_993/result/gear1_993Result.json - Initial Error, Previous State: P, Previous Action: up2, FMMFSM State: P, Fuzzy Max State: {'P': 0.5074247424501661}, Binary True State: {'R': 0.3666780911311581}
  computed/gear1_967/result/gear1_967Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: P, Fuzzy Max State: {'P': 0.5194489372440955}, Binary True State: {'N': 0.5184928869610279}
  computed/gear1_163/result/gear1_163Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: P, Fuzzy Max State: {'P': 0.334868230269039}, Binary True State: {'R': 0.235363841999909}
  computed/gear1_735/result/gear1_735Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: D, Fuzzy Max State: {'D': 0.4948988548769748}, Binary True State: {'N': 0.3500686834172829}
  computed/gear1_735/result/gear1_735Result.json - Initial Error, Previous State: D, Previous Action: down1, FMMFSM State: P, Fuzzy Max State: {'P': 0.32697835490246174}, Binary True State: {'N': 0.3140661895596534}
  computed/gear1_507/result/gear1_507Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: D, Fuzzy Max State: {'D': 0.26837919064246907}, Binary True State: {'N': 0.2544716568721239}
  computed/gear1_507/result/gear1_507Result.json - Initial Error, Previous State: D, Previous Action: up3, FMMFSM State: D, Fuzzy Max State: {'D': 0.2533226585915721}, Binary True State: {'N': 0.2038905218897168}
  computed/gear1_197/result/gear1_197Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: P, Fuzzy Max State: {'P': 0.48902127477872237}, Binary True State: {'R': 0.45299098682336547}
  computed/gear1_538/result/gear1_538Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: P, Fuzzy Max State: {'P': 0.3199081879567842}, Binary True State: {'N': 0.30616758446631087}
  computed/gear1_538/result/gear1_538Result.json - Initial Error, Previous State: P, Previous Action: up1, FMMFSM State: D, Fuzzy Max State: {'D': 0.35454216684322215}, Binary True State: {'N': 0.2960045913100645}
  computed/gear1_538/result/gear1_538Result.json - Initial Error, Previous State: D, Previous Action: down1, FMMFSM State: P, Fuzzy Max State: {'P': 0.3563142256770844}, Binary True State: {'N': 0.34879706757495}
  computed/gear1_960/result/gear1_960Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: P, Fuzzy Max State: {'P': 0.5194489372440955}, Binary True State: {'N': 0.5184928869610279}
  computed/gear1_960/result/gear1_960Result.json - Initial Error, Previous State: P, Previous Action: up1, FMMFSM State: P, Fuzzy Max State: {'P': 0.4968514307983346}, Binary True State: {'R': 0.41724011168269337}
  computed/gear1_994/result/gear1_994Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: D, Fuzzy Max State: {'D': 0.30353862940866716}, Binary True State: {'N': 0.20637335977207139}
  computed/gear1_703/result/gear1_703Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: D, Fuzzy Max State: {'D': 0.21272855088288067}, Binary True State: {'N': 0.20096302569564684}
  computed/gear1_531/result/gear1_531Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: D, Fuzzy Max State: {'D': 0.2055390206548493}, Binary True State: {'N': 0.16261511736283019}
  computed/gear1_155/result/gear1_155Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: D, Fuzzy Max State: {'D': 0.4444215122700649}, Binary True State: {'N': 0.35388775432434627}
  computed/gear1_155/result/gear1_155Result.json - Initial Error, Previous State: D, Previous Action: down1, FMMFSM State: P, Fuzzy Max State: {'P': 0.5429409474265554}, Binary True State: {'R': 0.3939855103061911}
  computed/gear1_969/result/gear1_969Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: P, Fuzzy Max State: {'P': 0.33783209405247594}, Binary True State: {'R': 0.3307926269734699}
  computed/gear1_367/result/gear1_367Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: D, Fuzzy Max State: {'D': 0.36312599658110256}, Binary True State: {'N': 0.2855878123324821}
  computed/gear1_367/result/gear1_367Result.json - Initial Error, Previous State: D, Previous Action: down1, FMMFSM State: P, Fuzzy Max State: {'P': 0.4667665740074183}, Binary True State: {'R': 0.3722024132198406}
  computed/gear1_393/result/gear1_393Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: P, Fuzzy Max State: {'P': 0.4233320525733594}, Binary True State: {'R': 0.30884569533867756}
  computed/gear1_956/result/gear1_956Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: D, Fuzzy Max State: {'D': 0.4139121017457138}, Binary True State: {'N': 0.31299423051993547}
  computed/gear1_394/result/gear1_394Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: P, Fuzzy Max State: {'P': 0.5922883334275122}, Binary True State: {'R': 0.559784397769499}
  computed/gear1_394/result/gear1_394Result.json - Initial Error, Previous State: P, Previous Action: up2, FMMFSM State: D, Fuzzy Max State: {'D': 0.3627912431237632}, Binary True State: {'N': 0.3039490602571636}
  computed/gear1_360/result/gear1_360Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: P, Fuzzy Max State: {'P': 0.6689539595784582}, Binary True State: {'R': 0.5233255202861917}
  computed/gear1_152/result/gear1_152Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: D, Fuzzy Max State: {'D': 0.3173490368477464}, Binary True State: {'N': 0.2614781005867306}
  computed/gear1_152/result/gear1_152Result.json - Initial Error, Previous State: D, Previous Action: down1, FMMFSM State: P, Fuzzy Max State: {'P': 0.41841837446521213}, Binary True State: {'R': 0.3243280397730558}
  computed/gear1_536/result/gear1_536Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: P, Fuzzy Max State: {'P': 0.36416299627713056}, Binary True State: {'R': 0.3591474172637149}
  computed/gear1_704/result/gear1_704Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: D, Fuzzy Max State: {'D': 0.4430638687833256}, Binary True State: {'N': 0.35687311930599397}
  computed/gear1_199/result/gear1_199Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: P, Fuzzy Max State: {'P': 0.4680804680572397}, Binary True State: {'N': 0.44379297550541486}
  computed/gear1_199/result/gear1_199Result.json - Initial Error, Previous State: P, Previous Action: up1, FMMFSM State: D, Fuzzy Max State: {'D': 0.27233463068586083}, Binary True State: {'N': 0.2577194624450819}
